ICAO,Ident,Operator,Type,CMPG,#$Tag 1,#$Tag 2,Category
407315,G-IIIF,Red Bull Matadors,Xtremeair Sbach XA-41,Civ,Do A Barrel Roll,Pass The Sick Bag,Aerobatic Teams
4021BB,G-EWIZ,Rich Goodwin,Pitts Special S-2SE,Civ,Cool,Do A Barrel Roll,Aerobatic Teams
400E1F,G-OFFO,The Blades,Extra EA-300,Civ,Do A Barrel Roll,,Aerobatic Teams
400E20,G-ZXCL,The Blades,Extra EA-300,Civ,Do A Barrel Roll,,Aerobatic Teams
400E21,G-ZXEL,The Blades,Extra EA-300,Civ,Do A Barrel Roll,,Aerobatic Teams
400E22,G-ZEXL,The Blades,Extra EA-300,Civ,Do A Barrel Roll,,Aerobatic Teams
40655A,G-ZXLL,The Blades,Extra EA-300,Civ,Do A Barrel Roll,,Aerobatic Teams
43C0EE,xx177,The Red Arrows (RAF),Hawk T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C0F6,xx188,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C40D,xx219,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C418,xx232,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C421,xx242,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C422,xx244,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C423,xx245,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C434,xx278,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C44A,xx310,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C44B,xx311,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C453,xx319,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C456,xx322,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C457,xx323,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C459,xx325,The Red Arrows (RAF),HawK T1a,Mil,Do A Barrel Roll,Turn and Burn,Aerobatic Teams
43C257,ZJ194,Army Air Corps,AgustaWestland Apache AH.1,Mil,Tomahawk,Choppa,Army Air Corp
43C6C3,ZZ409,Army Air Corps,AgustaWestland Wildcat AH.1,Mil,Tomahawk,Choppa,Army Air Corp
43C6C4,ZZ410,Army Air Corps,AgustaWestland Wildcat AH.1,Mil,Choppa,,Army Air Corp
43C761,ZZ520,Army Air Corps,AgustaWestland Wildcat AH.1,Mil,Choppa,,Army Air Corp
